State,Zip,Age,Sex,MaritalDesc,CitizenDesc,Hispanic/Latino,RaceDesc,Employment Status,Department,Position,Pay Rate,Manager Name,Employee Source,Performance Score,Work Experience
MA,1450,32,Female,Married,US Citizen,No,Black or African American,Active,Admin Offices,Accountant I,28.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5666
MA,1460,33,Male,Divorced,US Citizen,No,Black or African American,Active,Admin Offices,Accountant I,23.0,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,3769
MA,2703,31,Male,Single,US Citizen,No,White,Active,Admin Offices,Accountant I,29.0,Brandon R. LeBlanc,Internet Search,Fully Meets,3504
MA,2170,32,Female,Married,US Citizen,No,White,Active,Admin Offices,Administrative Assistant,21.5,Brandon R. LeBlanc,Pay Per Click - Google,N/A- too early to review,57
MA,2330,29,Female,Single,US Citizen,No,White,Active,Admin Offices,Administrative Assistant,16.56,Brandon R. LeBlanc,Website Banner Ads,N/A- too early to review,3290
MA,1844,30,Female,Married,US Citizen,No,Asian,Voluntarily Terminated,Admin Offices,Administrative Assistant,20.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,730
MA,1460,33,Male,Married,US Citizen,No,White,Active,Admin Offices,Shared Services Manager,55.0,Janet King,Monster.com,Fully Meets,3040
MA,2045,33,Male,Married,Eligible NonCitizen,No,Black or African American,Voluntarily Terminated,Admin Offices,Shared Services Manager,55.0,Janet King,Diversity Job Fair,Fully Meets,1635
MA,2468,30,Female,Married,US Citizen,No,Asian,Active,Admin Offices,Sr. Accountant,34.95,Brandon R. LeBlanc,Diversity Job Fair,90-day meets,3363
MA,2050,38,Female,Married,US Citizen,No,White,Active,Admin Offices,Sr. Accountant,34.95,Board of Directors,Other,Fully Meets,5596
MA,1902,63,Female,Married,US Citizen,Yes,White,Active,Executive Office,President & CEO,80.0,Board of Directors,Pay Per Click - Google,Fully Meets,4323
MA,2067,38,Female,Single,US Citizen,No,White,Active,IT/IS,CIO,65.0,Janet King,Employee Referral,Exceptional,5137
MA,2026,31,Female,Single,US Citizen,Yes,White,Terminated for Cause,IT/IS,Database Administrator,43.0,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets,432
MA,2127,46,Female,Single,US Citizen,No,White,Terminated for Cause,IT/IS,Database Administrator,48.5,Simon Roup,Glassdoor,Fully Meets,27
MA,1960,31,Male,Married,US Citizen,No,Black or African American,Terminated for Cause,IT/IS,Database Administrator,40.1,Simon Roup,Employee Referral,N/A- too early to review,6
MA,2493,33,Female,Single,US Citizen,No,White,Active,IT/IS,Database Administrator,34.0,Simon Roup,Glassdoor,N/A- too early to review,3322
MA,2301,31,Female,Married,US Citizen,No,Asian,Leave of Absence,IT/IS,Database Administrator,40.0,Simon Roup,Glassdoor,90-day meets,3405
TX,78230,29,Male,Divorced,US Citizen,No,Black or African American,Active,IT/IS,Database Administrator,35.5,Simon Roup,Diversity Job Fair,Exceptional,3461
MA,2747,33,Male,Married,US Citizen,No,White,Voluntarily Terminated,IT/IS,Database Administrator,41.0,Simon Roup,Employee Referral,Fully Meets,516
MA,1886,33,Female,Married,US Citizen,No,Asian,Active,IT/IS,Database Administrator,42.75,Simon Roup,Employee Referral,Exceptional,3461
MA,1886,36,Female,Married,US Citizen,No,White,Active,IT/IS,Database Administrator,39.55,Simon Roup,Employee Referral,Fully Meets,3363
MA,1810,31,Male,Married,US Citizen,No,White,Active,IT/IS,Database Administrator,42.2,Simon Roup,Pay Per Click - Google,N/A- too early to review,3322
MA,2452,30,Male,Divorced,US Citizen,No,Black or African American,Voluntarily Terminated,IT/IS,Database Administrator,45.0,Simon Roup,Vendor Referral,90-day meets,299
MA,2110,47,Male,Married,US Citizen,Yes,White,Active,IT/IS,Database Administrator,30.2,Simon Roup,Employee Referral,90-day meets,3405
MA,2148,38,Female,Single,US Citizen,No,White,Active,IT/IS,Database Administrator,31.4,Simon Roup,Employee Referral,90-day meets,3322
MA,1460,37,Male,Single,US Citizen,No,Black or African American,Active,IT/IS,IT Director,65.0,Jennifer Zamora,Professional Society,Exceptional,4767
MA,2481,44,Male,Single,US Citizen,No,White,Active,IT/IS,IT Manager - DB,62.0,Jennifer Zamora,Professional Society,Fully Meets,4120
MA,1915,54,Male,Divorced,US Citizen,No,Two or more races,Voluntarily Terminated,IT/IS,IT Manager - DB,21.0,Jennifer Zamora,Diversity Job Fair,Fully Meets,1395
MA,2134,31,Male,Married,Eligible NonCitizen,Yes,Hispanic,Active,IT/IS,IT Manager - Infra,63.0,Jennifer Zamora,Diversity Job Fair,Needs Improvement,4460
MA,1886,47,Male,Single,US Citizen,No,White,Active,IT/IS,IT Manager - Support,64.0,Jennifer Zamora,Professional Society,Exceeds,3770
MA,2170,32,Male,Single,US Citizen,No,White,Active,IT/IS,IT Support,28.99,Eric Dougall,Glassdoor,Fully Meets,4258
CT,6040,49,Female,Single,US Citizen,No,White,Active,IT/IS,IT Support,31.4,Eric Dougall,Vendor Referral,Fully Meets,5116
CT,6070,29,Female,Single,US Citizen,Yes,Two or more races,Active,IT/IS,IT Support,26.0,Eric Dougall,Diversity Job Fair,Exceeds,4850
MA,2360,44,Female,Married,US Citizen,No,Black or African American,Active,IT/IS,IT Support,27.49,Eric Dougall,Information Session,Fully Meets,4711
MA,1886,30,Male,Divorced,US Citizen,No,White,Active,IT/IS,Network Engineer,45.0,Peter Monroe,Glassdoor,90-day meets,3405
MA,2135,28,Male,Married,US Citizen,Yes,White,Active,IT/IS,Network Engineer,42.0,Peter Monroe,Information Session,N/A- too early to review,3322
MA,2119,29,Female,Married,US Citizen,No,White,Active,IT/IS,Network Engineer,37.0,Peter Monroe,Employee Referral,90-day meets,3405
MA,2472,36,Female,Separated,US Citizen,Yes,White,Active,IT/IS,Network Engineer,39.0,Peter Monroe,Employee Referral,Fully Meets,3405
MA,2138,30,Male,Single,US Citizen,No,White,Active,IT/IS,Network Engineer,43.0,Peter Monroe,Vendor Referral,N/A- too early to review,3322
MA,2048,38,Female,Married,US Citizen,No,White,Active,IT/IS,Network Engineer,27.0,Peter Monroe,Monster.com,Fully Meets,3363
MA,1773,36,Female,Married,US Citizen,No,White,Active,IT/IS,Network Engineer,47.0,Peter Monroe,Vendor Referral,Fully Meets,3503
MA,1420,29,Male,Married,US Citizen,No,White,Voluntarily Terminated,IT/IS,Network Engineer,28.0,Peter Monroe,Monster.com,Fully Meets,126
MA,2343,48,Male,Married,Eligible NonCitizen,No,White,Active,IT/IS,Network Engineer,49.1,Peter Monroe,Employee Referral,N/A- too early to review,3322
MA,2148,42,Male,Married,US Citizen,No,White,Voluntarily Terminated,IT/IS,Sr. DBA,62.0,Simon Roup,Company Intranet - Partner,Fully Meets,444
MA,1886,31,Female,Single,US Citizen,No,Black or African American,Future Start,IT/IS,Sr. DBA,61.3,Simon Roup,Vendor Referral,N/A- too early to review,2864
CT,6033,53,Male,Single,US Citizen,No,Black or African American,Terminated for Cause,IT/IS,Sr. DBA,58.2,Simon Roup,Vendor Referral,Fully Meets,732
MA,2703,44,Female,Single,US Citizen,Yes,White,Voluntarily Terminated,IT/IS,Sr. DBA,58.5,Simon Roup,Vendor Referral,90-day meets,309
CT,6033,66,Female,Married,US Citizen,No,White,Leave of Absence,IT/IS,Sr. Network Engineer,54.1,Peter Monroe,Vendor Referral,Fully Meets,3461
MA,2169,31,Male,Married,US Citizen,No,White,Leave of Absence,IT/IS,Sr. Network Engineer,56.2,Peter Monroe,Employee Referral,Fully Meets,3461
MA,1545,34,Male,Married,US Citizen,No,Asian,Future Start,IT/IS,Sr. Network Engineer,53.8,Peter Monroe,On-campus Recruiting,N/A- too early to review,2864
CT,6278,52,Male,Single,US Citizen,No,White,Active,IT/IS,Sr. Network Engineer,53.0,Peter Monroe,Employee Referral,90-day meets,3461
MA,2453,39,Female,widowed,US Citizen,No,Asian,Active,IT/IS,Sr. Network Engineer,55.2,Peter Monroe,Employee Referral,N/A- too early to review,3322
MA,2030,34,Female,Single,US Citizen,No,Black or African American,Active,Production       ,Director of Operations,60.0,Janet King,Other,Exceeds,5596
MA,2169,49,Male,Divorced,US Citizen,No,White,Active,Production       ,Production Manager,54.5,Janet King,Employee Referral,Fully Meets,4659
MA,1901,47,Male,Single,US Citizen,No,Asian,Voluntarily Terminated,Production       ,Production Manager,50.5,Janet King,Billboard,Fully Meets,311
MA,2169,34,Male,Single,US Citizen,No,White,Active,Production       ,Production Manager,55.0,Janet King,Pay Per Click - Google,Exceeds,3017
MA,1731,44,Female,Single,US Citizen,No,White,Active,Production       ,Production Manager,51.0,Janet King,Search Engine - Google Bing Yahoo,Fully Meets,3515
MA,1752,36,Male,Divorced,US Citizen,No,White,Active,Production       ,Production Manager,54.0,Janet King,Employee Referral,Fully Meets,3258
MA,1890,45,Male,Married,US Citizen,No,White,Terminated for Cause,Production       ,Production Manager,48.5,Janet King,Employee Referral,Fully Meets,1797
MA,2128,41,Male,Married,US Citizen,No,Asian,Voluntarily Terminated,Production       ,Production Manager,42.0,Janet King,Other,Needs Improvement,580
MA,2110,36,Female,Married,US Citizen,No,White,Active,Production       ,Production Manager,55.0,Janet King,Website Banner Ads,Exceeds,3868
MA,2045,36,Male,Single,US Citizen,Yes,Hispanic,Active,Production       ,Production Manager,53.0,Janet King,Internet Search,Fully Meets,4278
MA,2030,40,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Manager,38.5,Janet King,Internet Search,Fully Meets,2032
MA,2451,42,Female,Married,US Citizen,No,White,Active,Production       ,Production Manager,52.0,Janet King,Vendor Referral,Fully Meets,4231
MA,1803,42,Male,Divorced,US Citizen,No,White,Active,Production       ,Production Manager,53.0,Janet King,Monster.com,Needs Improvement,5036
MA,1776,39,Female,Married,US Citizen,No,Black or African American,Active,Production       ,Production Manager,55.0,Janet King,Billboard,Fully Meets,5593
MA,2478,62,Female,Married,US Citizen,No,Black or African American,Voluntarily Terminated,Production       ,Production Manager,33.5,Janet King,Diversity Job Fair,Fully Meets,98
MA,1960,34,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,Michael Albert,MBTA ads,Exceeds,4686
MA,1886,29,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,21.0,Elijiah Gray,Billboard,Fully Meets,5960
MA,2169,28,Female,Divorced,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,16.0,Webster Butler,Word of Mouth,N/A- too early to review,57
MA,1844,40,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,23.0,Amy Dunn,MBTA ads,Exceptional,4497
MA,2199,34,Male,widowed,US Citizen,No,White,Active,Production       ,Production Technician I,22.0,Ketsia Liebig,Employee Referral,N/A- too early to review,3868
MA,1902,47,Female,Single,US Citizen,No,Two or more races,Leave of Absence,Production       ,Production Technician I,22.0,Brannon Miller,Diversity Job Fair,Fully Meets,5415
MA,1902,44,Female,Married,US Citizen,Yes,Hispanic,Voluntarily Terminated,Production       ,Production Technician I,17.0,David Stanley,Diversity Job Fair,N/A- too early to review,2
MA,2062,43,Male,Married,US Citizen,Yes,Asian,Voluntarily Terminated,Production       ,Production Technician I,22.0,Kissy Sullivan,Diversity Job Fair,90-day meets,170
MA,1810,34,Male,Single,US Citizen,No,Two or more races,Active,Production       ,Production Technician I,16.76,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets,4455
MA,2747,40,Male,Divorced,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,18.0,Michael Albert,On-line Web application,Fully Meets,194
MA,1915,47,Female,Single,Eligible NonCitizen,No,White,Active,Production       ,Production Technician I,22.0,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,4778
MA,2452,38,Male,Single,US Citizen,No,Asian,Leave of Absence,Production       ,Production Technician I,17.0,Webster Butler,MBTA ads,Fully Meets,3952
MA,2072,47,Male,Single,US Citizen,Yes,White,Active,Production       ,Production Technician I,16.0,Amy Dunn,Word of Mouth,Fully Meets,4414
MA,2027,59,Female,Divorced,US Citizen,No,Asian,Active,Production       ,Production Technician I,22.0,Ketsia Liebig,Billboard,Fully Meets,3910
MA,2031,28,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,16.0,Brannon Miller,Professional Society,Exceeds,3588
MA,1701,27,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,20.0,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,439
MA,2043,48,Female,Separated,US Citizen,No,Black or African American,Leave of Absence,Production       ,Production Technician I,20.0,Kissy Sullivan,Diversity Job Fair,Fully Meets,3825
MA,1701,34,Male,widowed,US Citizen,No,Black or African American,Active,Production       ,Production Technician I,20.0,Kelley Spirea,MBTA ads,Fully Meets,3686
MA,2763,67,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,16.0,Michael Albert,Search Engine - Google Bing Yahoo,Fully Meets,3504
MA,2170,38,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,19.5,Elijiah Gray,Internet Search,Fully Meets,3644
MA,1845,34,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,22.0,Webster Butler,Newspager/Magazine,Fully Meets,3952
MA,1775,34,Female,Single,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,21.0,Amy Dunn,Other,90-day meets,1602
MA,2044,29,Female,Single,Non-Citizen,No,Black or African American,Active,Production       ,Production Technician I,22.0,Ketsia Liebig,Pay Per Click - Google,Fully Meets,4596
MA,2134,37,Male,Married,US Citizen,No,White,Future Start,Production       ,Production Technician I,24.75,Brannon Miller,Employee Referral,Exceeds,2858
MA,2452,40,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,15.0,David Stanley,Employee Referral,Fully Meets,3952
MA,1880,38,Male,Single,US Citizen,No,Black or African American,Terminated for Cause,Production       ,Production Technician I,15.0,Kissy Sullivan,MBTA ads,Needs Improvement,440
MA,2189,40,Female,Married,US Citizen,Yes,White,Active,Production       ,Production Technician I,15.75,Kelley Spirea,Billboard,90-day meets,3405
MA,1821,30,Female,Single,US Citizen,No,White,Future Start,Production       ,Production Technician I,19.75,Michael Albert,Newspager/Magazine,N/A- too early to review,2858
MA,2110,39,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,15.0,Elijiah Gray,Billboard,Fully Meets,4323
MA,1810,40,Male,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,23.5,Webster Butler,Billboard,Fully Meets,1484
MA,2061,50,Male,Married,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,Amy Dunn,Professional Society,PIP,3588
MA,2180,35,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,21.0,Ketsia Liebig,Pay Per Click - Google,Fully Meets,3644
MA,2351,39,Female,Married,US Citizen,No,Black or African American,Active,Production       ,Production Technician I,22.0,Brannon Miller,Pay Per Click - Google,Needs Improvement,4133
MA,2125,31,Female,Single,US Citizen,Yes,White,Active,Production       ,Production Technician I,16.75,David Stanley,Monster.com,Fully Meets,4414
MA,2343,26,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,17.0,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets,794
MA,2026,43,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,21.25,Kelley Spirea,MBTA ads,Fully Meets,3461
MA,2045,39,Male,Married,US Citizen,No,White,Active,Production       ,Production Technician I,21.0,Kelley Spirea,Employee Referral,90-day meets,3686
MA,2129,34,Male,Single,US Citizen,No,White,Terminated for Cause,Production       ,Production Technician I,17.0,Michael Albert,Word of Mouth,Needs Improvement,908
MA,2458,28,Female,Single,US Citizen,No,White,Terminated for Cause,Production       ,Production Technician I,18.0,Elijiah Gray,Word of Mouth,N/A- too early to review,8
MA,2176,62,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,20.0,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets,921
MA,2132,28,Male,Married,US Citizen,No,White,Active,Production       ,Production Technician I,18.0,Amy Dunn,Professional Society,N/A- too early to review,3280
MA,2176,31,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,23.0,Ketsia Liebig,Newspager/Magazine,Fully Meets,4455
MA,2155,36,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,24.0,Brannon Miller,Social Networks - Facebook Twitter etc,Fully Meets,4497
MA,1905,32,Male,Single,US Citizen,Yes,White,Active,Production       ,Production Technician I,19.0,David Stanley,Employee Referral,N/A- too early to review,3322
MA,1550,37,Male,Single,US Citizen,No,Asian,Active,Production       ,Production Technician I,18.0,Kissy Sullivan,Professional Society,Fully Meets,3952
MA,2121,34,Female,widowed,US Citizen,Yes,Black or African American,Active,Production       ,Production Technician I,24.0,Kelley Spirea,MBTA ads,Fully Meets,4736
MA,2145,27,Female,Married,US Citizen,No,Black or African American,Active,Production       ,Production Technician I,19.0,Michael Albert,Professional Society,N/A- too early to review,3322
MA,2330,47,Female,Divorced,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,22.0,Elijiah Gray,Diversity Job Fair,N/A- too early to review,8
MA,2062,43,Male,Married,US Citizen,No,Black or African American,Voluntarily Terminated,Production       ,Production Technician I,15.0,Webster Butler,Diversity Job Fair,Needs Improvement,1179
MA,2451,37,Female,Single,US Citizen,Yes,Two or more races,Active,Production       ,Production Technician I,16.0,Amy Dunn,Professional Society,Exceeds,3504
MA,2451,25,Female,Single,US Citizen,Yes,White,Active,Production       ,Production Technician I,17.0,Ketsia Liebig,Glassdoor,Fully Meets,3825
MA,2108,48,Male,Divorced,US Citizen,No,American Indian or Alaska Native,Active,Production       ,Production Technician I,16.0,Brannon Miller,Diversity Job Fair,Exceeds,4680
MA,2169,38,Male,Married,US Citizen,No,White,Active,Production       ,Production Technician I,15.0,David Stanley,MBTA ads,Fully Meets,4323
MA,1864,43,Female,Married,US Citizen,No,Asian,Leave of Absence,Production       ,Production Technician I,24.0,Kissy Sullivan,On-campus Recruiting,Fully Meets,3910
MA,2176,34,Female,Divorced,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,14.0,Kelley Spirea,Monster.com,Fully Meets,1055
MA,2127,40,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,24.0,Michael Albert,Word of Mouth,Fully Meets,4539
MA,1776,35,Male,Married,US Citizen,No,Asian,Active,Production       ,Production Technician I,21.0,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,4372
MA,2324,65,Female,Single,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,19.75,Webster Butler,Monster.com,Fully Meets,1436
MA,1886,43,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,Amy Dunn,Monster.com,Exceeds,3644
MA,2149,34,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,19.0,Ketsia Liebig,Social Networks - Facebook Twitter etc,90-day meets,4281
MA,1775,27,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,16.0,Brannon Miller,Professional Society,Fully Meets,3910
MA,2081,45,Female,Separated,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,David Stanley,Newspager/Magazine,Fully Meets,4196
MA,1778,51,Female,Divorced,US Citizen,No,White,Active,Production       ,Production Technician I,21.0,Kissy Sullivan,Employee Referral,Fully Meets,3868
MA,2109,53,Female,Separated,US Citizen,No,White,Active,Production       ,Production Technician I,19.0,Kelley Spirea,On-campus Recruiting,Fully Meets,3769
MA,2445,58,Male,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,17.0,Michael Albert,Monster.com,Exceeds,1634
MA,2446,31,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,21.0,Elijiah Gray,Monster.com,90-day meets,1907
MA,1887,42,Male,Single,US Citizen,No,White,Active,Production       ,Production Technician I,19.0,Michael Albert,Billboard,Fully Meets,3868
MA,2170,44,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,22.0,Webster Butler,Search Engine - Google Bing Yahoo,90-day meets,1347
MA,2127,47,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,24.0,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets,105
MA,1721,40,Male,Single,US Citizen,No,Black or African American,Active,Production       ,Production Technician I,14.0,Ketsia Liebig,On-campus Recruiting,Fully Meets,3727
MA,1801,37,Male,Married,US Citizen,No,Asian,Active,Production       ,Production Technician I,21.0,Brannon Miller,Pay Per Click - Google,Fully Meets,4861
MA,2048,31,Male,Married,US Citizen,No,White,Active,Production       ,Production Technician I,17.0,David Stanley,Newspager/Magazine,Fully Meets,4316
MA,1810,39,Female,Single,US Citizen,No,Asian,Voluntarily Terminated,Production       ,Production Technician I,19.0,Kissy Sullivan,Monster.com,Fully Meets,693
MA,2050,36,Male,Single,US Citizen,No,White,Terminated for Cause,Production       ,Production Technician I,15.0,Kelley Spirea,Social Networks - Facebook Twitter etc,90-day meets,163
MA,1886,36,Female,Married,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,15.25,Michael Albert,Internet Search,N/A- too early to review,83
MA,2122,42,Female,Married,US Citizen,No,Black or African American,Leave of Absence,Production       ,Production Technician I,20.0,Elijiah Gray,Website Banner Ads,90-day meets,3363
MA,1844,44,Female,Single,US Citizen,Yes,Two or more races,Voluntarily Terminated,Production       ,Production Technician I,19.0,Webster Butler,Diversity Job Fair,Exceeds,1468
MA,1938,45,Male,widowed,US Citizen,No,White,Voluntarily Terminated,Production       ,Production Technician I,15.0,Amy Dunn,Pay Per Click,N/A- too early to review,2
MA,2189,31,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,17.0,Ketsia Liebig,Newspager/Magazine,Fully Meets,3769
MA,2451,43,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,23.0,Brannon Miller,On-campus Recruiting,Fully Meets,3825
MA,2330,40,Female,Married,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,David Stanley,Other,90-day meets,4721
MA,2184,31,Female,Married,US Citizen,No,Black or African American,Active,Production       ,Production Technician I,24.0,Kissy Sullivan,Monster.com,Fully Meets,4133
MA,1760,49,Female,Single,US Citizen,No,Black or African American,Voluntarily Terminated,Production       ,Production Technician I,14.0,Kelley Spirea,Diversity Job Fair,Fully Meets,1318
MA,2346,41,Female,Single,US Citizen,No,White,Active,Production       ,Production Technician I,20.0,Michael Albert,Monster.com,N/A- too early to review,3322
MA,2453,33,Female,Divorced,US Citizen,No,White,Active,Production       ,Production Technician I,15.0,Elijiah Gray,MBTA ads,Fully Meets,4050
